latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,preliminary_class,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description
8.8344,78.08942,341.74,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,305.79,7.17,D,9.26273993224958,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,2.0247282991167523,Pandarampatti,village,False,False,agricultural_burn,"Agricultural cropland near Pandarampatti (village, 2.0 km)"
8.91272,77.51103,335.5,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.37,1.83,D,23.82376937751837,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,likely_natural,0.8287551637221087,Kidarakulam,village,False,False,agricultural_burn,"Agricultural cropland near Kidarakulam (village, 0.8 km)"
8.9238,77.49513,340.64,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,301.0,2.81,D,24.54234489123249,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,likely_natural,1.5454762475213657,Veeranam,village,False,False,agricultural_burn,"Agricultural cropland near Veeranam (village, 1.5 km)"
9.0019,77.67091,336.8,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,304.05,2.41,D,31.590592214023648,industrial,IND Barath Thermal Power Ltd,cpcb_verified,8.8894,77.935,likely_natural,0.808730553974085,Moovirunthali,village,False,False,agricultural_burn,"Agricultural cropland near Moovirunthali (village, 0.8 km)"
9.33826,80.20972,334.96,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,295.22,3.72,D,98.56848990944992,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,2.168523749702534,Manniyakulam,village,False,False,agricultural_burn,"Agricultural cropland near Manniyakulam (village, 2.2 km)"
9.64433,77.74282,340.2,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,302.66,1.71,D,30.959309657821706,industrial,unnamed,tn_central,9.5822502,78.0181003,likely_natural,2.9069788016343425,Alagapuri,village,False,False,agricultural_burn,"Agricultural cropland near Alagapuri (village, 2.9 km)"
9.64763,77.74231,336.31,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,299.81,1.71,D,31.09740488397904,industrial,unnamed,tn_central,9.5822502,78.0181003,likely_natural,3.0924592317343493,Alagapuri,village,False,False,agricultural_burn,"Agricultural cropland near Alagapuri (village, 3.1 km)"
9.86792,77.45,336.33,0.38,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.06,3.74,D,60.5082165339096,industrial,Vadapalanji IT SEZ,tn_central,9.9312285,77.9986372,likely_natural,0.5472615739333809,Kamatchipuram,village,False,False,agricultural_burn,"Agricultural cropland near Kamatchipuram (village, 0.5 km)"
10.12011,78.72713,331.96,0.4,0.37,2026-09-22,816,N20,VIIRS,n,2.0NRT,293.63,2.46,D,4.092424730325556,industrial,unnamed,tn_central,10.1058262,78.7615845,likely_natural,0.9376229553258144,Uyikondan Siruvayal,village,False,False,agricultural_burn,"Agricultural cropland near Uyikondan Siruvayal (village, 0.9 km)"
10.84744,77.61841,334.59,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,297.67,3.13,D,42.89064951649868,industrial,Karur Textile Park,tn_central,10.8868058,78.0091276,likely_natural,1.643813668734644,Tottiyampalaiyam,village,False,False,agricultural_burn,"Agricultural cropland near Tottiyampalaiyam (village, 1.6 km)"
11.0276,77.41729,345.32,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,295.19,5.29,D,52.24545922304975,industrial,Amaravathy Co-Op Sugar Mills (Distillery),cpcb_verified,10.5876,77.2495,likely_natural,5.010091234462485,Kovil Vazhi,suburb,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Kovil Vazhi (5.0 km)
11.30747,77.65325,334.43,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,285.58,2.54,D,42.775911919718176,industrial,unnamed,tn_central,11.2875877,78.0450202,likely_natural,1.0587445950229377,Mettukadai,village,False,False,agricultural_burn,"Agricultural cropland near Mettukadai (village, 1.1 km)"
8.2431,80.32059,343.84,0.37,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,289.81,2.91,D,160.47584163319237,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.3828840952395973,Talawa,village,False,False,agricultural_burn,"Agricultural cropland near Talawa (village, 3.4 km)"
8.28809,80.29454,331.08,0.37,0.58,2026-09-18,835,N21,VIIRS,n,2.0NRT,292.5,2.25,D,154.88139516655693,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,4.349715248388682,Sinharagama,village,False,False,agricultural_burn,"Agricultural cropland near Sinharagama (village, 4.3 km)"
8.38403,77.55009,342.51,0.47,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.7,8.4,D,34.17572969260111,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,likely_natural,3.77502940619828,Rajapudur,village,False,False,agricultural_burn,"Agricultural cropland near Rajapudur (village, 3.8 km)"
8.58515,77.63615,339.62,0.48,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,298.02,8.53,D,20.77215274114463,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,likely_natural,0.9137499334888257,Singikulam,village,False,False,agricultural_burn,"Agricultural cropland near Singikulam (village, 0.9 km)"
8.76047,77.37704,341.5,0.47,0.48,2026-09-18,835,N21,VIIRS,n,2.0NRT,301.22,4.35,D,9.346932931366217,industrial,Empee Sugars and Chemicals Ltd,cpcb_verified,8.7089,77.4442,likely_natural,1.9005639912273844,Karuthapillaiyur,village,False,False,agricultural_burn,"Agricultural cropland near Karuthapillaiyur (village, 1.9 km)"
8.81401,80.06055,330.45,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,293.85,3.11,D,97.53713643183612,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.7234118255000714,Murunkan,village,False,False,agricultural_burn,"Agricultural cropland near Murunkan (village, 3.7 km)"
8.81444,80.06377,331.43,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,294.1,3.16,D,97.80917799467257,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.997808353783718,Murunkan,village,False,False,agricultural_burn,"Agricultural cropland near Murunkan (village, 4.0 km)"
8.81461,80.06068,331.98,0.36,0.57,2026-09-18,835,N21,VIIRS,n,2.0NRT,293.83,3.69,D,97.51309527345931,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.6987030688262457,Murunkan,village,False,False,agricultural_burn,"Agricultural cropland near Murunkan (village, 3.7 km)"
8.82557,77.65616,333.05,0.49,0.49,2026-09-18,835,N21,VIIRS,n,2.0NRT,299.61,3.29,D,25.53128510474476,industrial,Sun Paper Mills Limited,cpcb_verified,8.6822,77.4747,likely_natural,0.8546970115557542,Rastha,village,False,False,agricultural_burn,"Agricultural cropland near Rastha (village, 0.9 km)"
