osm_id,name,place_type,latitude,longitude,district
3244713186,Byadarahalli,village,12.3937292,77.2274294,
3244713187,Channasandra,village,12.5697237,77.0376712,
3244713188,Dugganahalli,village,12.4142424,76.9983229,
3244713189,Gollarahalli,village,12.4152851,77.2264101,
3244713190,Gundapura,village,12.4186016,77.2521546,
3244713191,Honnayakanahalli,village,12.4540723,77.092583,
3244713192,Hosapura,village,12.4442811,77.111811,
3244713193,Huligerepura,village,12.539874,77.0432062,
3244713194,Hulikere,village,12.5200519,77.0863538,
3244713195,Hullagala,village,12.4105636,77.0107043,
3244713196,Huskuru,village,12.4543051,77.1421489,
3244713197,Kadukottanahalli,village,12.4547225,76.9881856,
3244713198,Karadahalli,village,12.4541264,77.2228553,
3244713199,Karkahalli,village,12.4864202,77.0600018,
3244713200,Kodipura,village,12.4115397,77.1396949,
3244713201,Kokkare Belluru,village,12.5097738,77.0883259,
3244713202,Koregala,village,12.4066597,77.0290653,
3244713203,Kulagere,village,12.4902571,77.1130534,
3244713204,Kyataghatta,village,12.4991477,77.0660783,
3244713205,Madahalli,village,12.411493,77.0185169,
3244713206,Malagaranahalli,village,12.541786,77.0635422,
3244713207,Menasagere,village,12.4712356,77.060749,
3244713208,Nagarakere,village,12.5549529,77.0520319,
3244713209,Nanjapura,village,12.4141184,77.2176645,
3244713210,Nitturu,village,12.4628237,77.2159989,
3244713211,Talagavadi,village,12.4281244,77.0215267,
3244713212,Torekadanahalli,village,12.4153708,77.1972654,
3244713213,Uppinakere,village,12.5549238,77.0415168,
3244713214,Yaladahalli,village,12.45594,77.0054773,
