osm_id,region,type,name,latitude,longitude,sipcot_verified,sipcot_sector,cpcb_verified,cpcb_name,cpcb_sector
178752248,tn_north,industrial,unnamed,13.0387234,80.0215728,False,,False,,
178752250,tn_north,industrial,unnamed,13.0475087,80.0146855,False,,False,,
178752251,tn_north,industrial,unnamed,13.0375832,80.0149565,False,,False,,
178752252,tn_north,industrial,unnamed,13.04709,80.01025,False,,False,,
178752253,tn_north,industrial,unnamed,13.0353714,80.0245302,False,,False,,
180145734,tn_north,industrial,unnamed,12.9589666,80.1383427,False,,False,,
180145735,tn_north,industrial,unnamed,12.9645251,80.1326147,False,,False,,
187763078,tn_north,works,Brakes India,12.7343599,80.0158393,False,,False,,
187763079,tn_north,industrial,Mahindra Research Valley,12.7192875,80.01468,False,,False,,
187763080,tn_north,works,Sundaram Fasteners,12.7331626,80.0142285,False,,False,,
191527885,tn_north,industrial,Daimler India Commercial Vehicles,12.8396041,79.9538594,False,,False,,
191527886,tn_north,industrial,Renault Nissan,12.835853,79.9422981,False,,False,,
194295085,tn_north,industrial,unnamed,12.7770143,79.8666209,False,,False,,
202471880,tn_north,industrial,Oragadam Industrial Park,12.8555875,79.9321809,False,,False,,
202471881,tn_north,industrial,SIPCOT Industrial Growth Centre,12.8673122,79.9659156,False,,False,,
209535299,tn_north,industrial,unnamed,13.0524332,80.2426482,False,,False,,
209535323,tn_north,industrial,unnamed,13.0517198,80.2443832,False,,False,,
211638793,tn_north,industrial,unnamed,13.0194302,80.2634472,False,,False,,
211669395,tn_north,industrial,TNEB,13.045125,80.2658584,False,,False,,
214188222,tn_north,industrial,unnamed,13.017718,80.2205716,False,,False,,
214188225,tn_north,industrial,unnamed,13.018334,80.2203592,False,,False,,
214599705,tn_north,industrial,unnamed,13.0165515,80.2111405,False,,False,,
214599719,tn_north,industrial,unnamed,13.0128054,80.2118868,False,,False,,
214599722,tn_north,industrial,unnamed,13.0221356,80.2086435,False,,False,,
214599732,tn_north,industrial,unnamed,13.0106827,80.2070338,False,,False,,
214599800,tn_north,industrial,unnamed,13.010655,80.2108182,False,,False,,
214599802,tn_north,industrial,unnamed,13.0049632,80.2120238,False,,False,,
214599803,tn_north,industrial,unnamed,13.017794,80.2133955,False,,False,,
214599813,tn_north,industrial,unnamed,13.0074819,80.2105223,False,,False,,
217722049,tn_north,industrial,unnamed,13.0931093,80.2482853,False,,False,,
217723247,tn_north,industrial,Binny Mills,13.1015417,80.2582831,False,,False,,
217753845,tn_north,industrial,unnamed,13.0637436,80.2151896,False,,False,,
217753846,tn_north,industrial,unnamed,13.0631223,80.2152285,False,,False,,
217760902,tn_north,industrial,unnamed,13.0684713,80.2168855,False,,False,,
217767220,tn_north,industrial,unnamed,13.0625359,80.2547876,False,,False,,
217845816,tn_north,industrial,unnamed,13.098012,80.2745819,False,,False,,
217860905,tn_north,industrial,unnamed,13.1069473,80.29227,False,,False,,
217860909,tn_north,industrial,unnamed,13.1168198,80.2960815,False,,False,,
217860910,tn_north,industrial,unnamed,13.1080457,80.2952018,False,,False,,
217860911,tn_north,industrial,unnamed,13.1176369,80.2943638,False,,False,,
217864785,tn_north,industrial,unnamed,13.1228489,80.2947795,False,,False,,
217864787,tn_north,industrial,unnamed,13.1123678,80.2900457,False,,False,,
217864789,tn_north,industrial,unnamed,13.1233807,80.290783,False,,False,,
217864790,tn_north,industrial,unnamed,13.1217776,80.29562,False,,False,,
217864791,tn_north,industrial,unnamed,13.119707,80.291413,False,,False,,
217865452,tn_north,industrial,unnamed,13.125862,80.2914385,False,,False,,
217868670,tn_north,industrial,unnamed,13.103038,80.2911332,False,,False,,
217868671,tn_north,industrial,unnamed,13.103315,80.2902746,False,,False,,
217880142,tn_north,industrial,unnamed,13.112446,80.2522319,False,,False,,
217906525,tn_north,industrial,unnamed,13.1211614,80.2571289,False,,False,,
217921150,tn_north,industrial,unnamed,13.0884631,80.2503964,False,,False,,
217927402,tn_north,industrial,MTC Depot,13.0870713,80.21925,False,,False,,
217930032,tn_north,industrial,unnamed,13.1052052,80.1999847,False,,False,,
217930033,tn_north,industrial,unnamed,13.1054166,80.1987683,False,,False,,
217940544,tn_north,industrial,unnamed,13.1157602,80.2643878,False,,False,,
217950386,tn_north,industrial,unnamed,13.1281072,80.276455,False,,False,,
217950387,tn_north,industrial,unnamed,13.1226148,80.2763996,False,,False,,
217952450,tn_north,industrial,unnamed,13.117216,80.2752471,False,,False,,
218204240,tn_north,industrial,unnamed,13.1304765,80.2940546,False,,False,,
218205268,tn_north,industrial,unnamed,13.1272962,80.2867395,False,,False,,
218205270,tn_north,industrial,unnamed,13.1329265,80.2958734,False,,False,,
218205272,tn_north,industrial,unnamed,13.1404382,80.2983955,False,,False,,
218205274,tn_north,industrial,unnamed,13.1365695,80.2949452,False,,False,,
218206842,tn_north,industrial,unnamed,13.1078968,80.2873168,False,,False,,
218208878,tn_north,industrial,unnamed,13.1301958,80.2885724,False,,False,,
218208880,tn_north,industrial,unnamed,13.1305314,80.2863048,False,,False,,
218208882,tn_north,industrial,unnamed,13.129276,80.2855914,False,,False,,
218208887,tn_north,industrial,unnamed,13.1378056,80.2882653,False,,False,,
218208892,tn_north,industrial,unnamed,13.136583,80.2864928,False,,False,,
218212406,tn_north,industrial,unnamed,13.1563844,80.2884764,False,,False,,
218212408,tn_north,industrial,unnamed,13.1245469,80.284545,False,,False,,
218212410,tn_north,industrial,unnamed,13.134341,80.260846,False,,False,,
219516140,tn_north,industrial,MTC Depot,13.1005668,80.1937768,False,,False,,
219561456,tn_north,industrial,unnamed,13.1327756,80.2544561,False,,False,,
223094122,tn_north,industrial,Kubs Locks,12.8505123,79.938029,False,,False,,
223094123,tn_north,works,unnamed,12.8536892,79.936111,False,,False,,
223094124,tn_north,industrial,Royal Enfield Oragadam,12.8493278,79.9343066,False,,False,,
223094128,tn_north,industrial,TVT,12.852156,79.9379478,False,,False,,
230865950,tn_north,industrial,Depot,12.6908601,79.9817035,False,,True,Mohan Breweries and Distilleries Ltd,Distillery
240461920,tn_north,industrial,unnamed,13.05185,80.2582654,False,,False,,
241027993,tn_north,industrial,unnamed,13.0712617,80.2425523,False,,False,,
241540258,tn_north,industrial,unnamed,13.0942934,80.2677537,False,,False,,
261183475,tn_north,industrial,Parryware Factory,12.9243198,79.3273257,True,Leather/Chemical,True,Bhavani Distilleries and Chemicals Ltd,Distillery
265041039,tn_north,industrial,Sipcot,12.9613946,79.4691863,False,,False,,
275926236,tn_north,industrial,Industrial Hub,12.9602809,79.462228,False,,False,,
297545906,tn_north,industrial,SIPCOT Industrial Complex,12.9554404,79.3189323,True,Leather/Chemical,False,,
297545907,tn_north,industrial,SIPCOT Industrial Complex,12.9623228,79.3064306,True,Leather/Chemical,False,,
297545908,tn_north,industrial,unnamed,13.1132363,79.1321289,False,,False,,
297545911,tn_north,industrial,unnamed,13.0020538,79.2943895,False,,False,,
319249721,tn_north,industrial,Gold Winner Oil Company,12.901324,80.1820874,False,,False,,
319249898,tn_north,industrial,Ramarao Body Works,12.9018718,80.1834812,False,,False,,
331617992,tn_north,industrial,NTC Logistics India (P) Ltd.,13.0402689,80.0419287,False,,False,,
350602548,tn_north,industrial,Cristo Blocks,12.5697794,80.1410962,False,,False,,
350602549,tn_north,industrial,Balaji Hallo Blocks,12.5694345,80.1413531,False,,False,,
354200295,tn_north,industrial,unnamed,13.108204,80.2963341,False,,False,,
354575639,tn_north,industrial,unnamed,13.0093027,80.1922699,False,,False,,
